,MUNICIPIO,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB19,z_score_nota,z_score_IDEB19
63,Granjeiro,59,6,0.1016949152542373,21,0.3559322033898305,11,0.1864406779661017,640.0,479.02033898305086,474.59830508474573,491.50847457627117,428.8406779661017,502.7935593220339,59,0,0.0002661794229771492,4.6,0.7360275715472185,0.5206365006593467
64,Graça,93,9,0.0967741935483871,53,0.5698924731182796,10,0.10752688172043011,329.4623655913978,433.31182795698925,449.2870967741935,441.552688172043,410.2817204301075,412.7791397849462,93,0,0.000419570954862286,4.2,-2.767700659259989,-0.4870363899067109
65,Groaíras,98,18,0.1836734693877551,65,0.6632653061224489,18,0.1836734693877551,407.14285714285717,462.3316326530612,469.8561224489796,478.7459183673469,427.1479591836735,449.0448979591837,98,0,0.00044212853308068844,4.3,-1.3560894820713196,-0.23511816726519708
66,Guaiúba,339,43,0.12684365781710916,135,0.39823008849557523,46,0.13569321533923304,506.84365781710915,462.5,477.87758112094394,479.25368731563424,439.0687315634218,473.10873156342177,339,0,0.0015294038032076876,4.300000000000001,-0.4194269609529396,-0.23511816726519483
67,Guaraciaba do Norte,1126,367,0.3259325044404973,703,0.6243339253996447,382,0.3392539964476021,608.4014209591475,497.8793072824156,517.2944937833037,506.8746891651865,464.08703374777974,518.9073889875666,464,14,0.0050799666147842365,5.033333333333333,1.3632435242344834,1.612282132105911
68,Guaramiranga,49,0,0.0,0,0.0,0,0.0,439.18367346938777,473.4387755102041,487.4591836734694,484.66530612244895,441.7959183673469,465.3085714285714,49,0,0.00022106426654034422,4.7,-0.7230409975688388,0.7725547233008628
69,Hidrolândia,401,121,0.30174563591022446,288,0.7182044887780549,123,0.30673316708229426,585.2369077306734,491.0658354114713,511.98154613466335,499.8007481296758,457.70648379052363,509.1583042394015,201,0,0.0018091177731158782,4.699999999999999,0.9837693951744806,0.7725547233008605
70,Horizonte,1576,392,0.24873096446700507,965,0.6123096446700508,421,0.26713197969543145,534.8857868020305,496.9539340101523,508.6799492385787,512.691307106599,460.00057106598985,502.6423096446701,551,0,0.0071101486544404595,4.966666666666667,0.7301403174027676,1.444336650344902
71,Ibaretama,114,5,0.043859649122807015,43,0.37719298245614036,5,0.043859649122807015,411.57894736842104,452.34736842105264,454.8877192982456,461.10263157894735,426.84736842105264,441.35280701754385,114,0,0.0005143127833795763,3.9,-1.6554970250489816,-1.2427910578312558
72,Ibiapina,597,159,0.2663316582914573,353,0.5912897822445561,168,0.2814070351758794,570.3852596314908,496.73802345058624,504.409715242881,508.4266331658292,460.60837520938026,508.11360134003354,195,19,0.002693374839277255,4.35,0.9431052986869891,-0.10915905594444014
73,Ibicuitinga,129,8,0.06201550387596899,41,0.3178294573643411,8,0.06201550387596899,435.968992248062,456.468992248062,456.41007751937985,471.90077519379844,428.34496124031006,449.8187596899225,129,0,0.0005819855180347838,3.9,-1.3259676281875232,-1.2427910578312558
74,Icapuí,466,134,0.2875536480686695,323,0.6931330472103004,144,0.3090128755364807,539.0128755364807,485.7030042918455,502.2744635193133,506.13991416309017,455.99270386266096,497.82459227467814,138,0,0.0021023662899551103,4.4,0.5426151137287476,0.016800055376319012
75,Icó,1623,346,0.21318545902649413,964,0.5939617991373999,382,0.23536660505237214,518.2008626001232,475.4677757239679,487.29494762784964,493.6633394947628,445.7372766481824,484.0728404189772,522,0,0.007322189889693443,4.2,0.00734086047399307,-0.4870363899067109
76,Iguatu,2505,905,0.36127744510978044,1723,0.6878243512974052,964,0.3848303393213573,594.0279441117765,502.50610778443115,523.1838323353294,517.4149301397205,472.410499001996,521.9086626746507,655,150,0.011301346687419639,4.942857142857143,1.4800653334500922,1.3843561211445414
77,Independência,772,173,0.22409326424870465,476,0.616580310880829,189,0.24481865284974094,492.43523316062175,469.44857512953365,479.52720207253884,487.1784974093264,444.87461139896374,474.6928238341969,320,4,0.003482890076921342,4.366666666666666,-0.35776763083826374,-0.06717268550418784
78,Ipaporanga,129,30,0.23255813953488372,103,0.7984496124031008,32,0.24806201550387597,424.8062015503876,462.277519379845,459.15581395348835,472.16821705426355,433.4038759689922,450.36232558139534,129,0,0.0005819855180347838,4.4,-1.304809827370149,0.016800055376319012
79,Ipaumirim,87,25,0.28735632183908044,71,0.8160919540229885,25,0.28735632183908044,508.5057471264368,464.07471264367814,470.37931034482756,483.1551724137931,435.49540229885054,472.3220689655173,87,0,0.000392501861000203,3.7,-0.45004707678074196,-1.7466275031142846
80,Ipu,1174,319,0.2717206132879046,669,0.5698466780238501,344,0.293015332197615,564.0545144804089,490.9494037478705,514.0809199318569,503.925468483816,462.01115843270867,507.0042930153322,403,17,0.005296519365680901,4.5,0.8999264956250635,0.2687182780178329
81,Ipueiras,852,182,0.2136150234741784,478,0.5610328638497653,185,0.21713615023474178,568.9201877934272,481.7207746478873,493.32077464788733,497.3897887323943,446.5647887323944,497.5832629107981,375,0,0.0038438113284157815,4.6000000000000005,0.533221590896544,0.520636500659349
82,Iracema,428,115,0.26869158878504673,245,0.572429906542056,125,0.29205607476635514,531.0280373831775,480.57943925233644,480.71682242990653,499.90070093457945,445.210046728972,487.4870093457944,141,0,0.0019309286954952516,4.5,0.14023423594819032,0.2687182780178329
83,Irauçuba,526,70,0.13307984790874525,183,0.34790874524714827,76,0.1444866920152091,488.28897338403044,473.0201520912548,484.8243346007605,484.89239543726234,444.1942965779468,475.04403041825094,334,0,0.00237305722857594,4.366666666666667,-0.34409723858640234,-0.0671726855041856
84,Itaitinga,857,263,0.30688448074679114,658,0.7677946324387398,271,0.3162193698949825,539.2998833138856,487.4995332555426,499.42613768961496,505.2827304550758,450.0123687281213,496.3041306884481,393,0,0.0038663689066341838,4.325,0.48343254930264246,-0.1721386116048175
85,Itaiçaba,83,19,0.2289156626506024,51,0.6144578313253012,21,0.25301204819277107,568.6746987951807,493.4168674698795,515.0385542168674,506.0843373493976,464.5939759036145,509.56168674698796,83,0,0.00037445579842548105,5.1,0.9994706871109591,1.7802276138669204
86,Itapajé,1451,366,0.25223983459682975,798,0.5499655410062027,388,0.2674017918676775,561.4059269469332,496.0917987594762,518.4288766368022,506.41957270847695,462.592350103377,508.9877050310131,677,1,0.006546209198980397,4.925,0.977128978387284,1.33937072424427
87,Itapipoca,3402,836,0.24573780129335684,1804,0.5302763080540859,897,0.263668430335097,539.512051734274,481.9303057025279,500.33248089359205,498.94415049970604,453.41472663139325,494.82674309229867,1649,56,0.015348176219801042,4.433333333333334,0.42592660019922873,0.10077279625682363
88,Itapiúna,155,12,0.07741935483870968,65,0.41935483870967744,15,0.0967741935483871,505.03225806451616,475.95612903225805,466.5064516129032,485.1845161290323,443.32322580645166,475.2005161290323,155,0,0.0006992849247704767,4.2,-0.3380061766720764,-0.4870363899067109
89,Itarema,828,143,0.17270531400966183,435,0.5253623188405797,151,0.1823671497584541,522.6328502415458,477.4867149758454,494.73454106280195,493.4599033816425,449.9623188405797,487.6552657004831,432,12,0.0037355349529674493,3.95,0.14678345931670453,-1.1168319465104977
90,Itatira,556,87,0.1564748201438849,338,0.6079136690647482,102,0.18345323741007194,485.9352517985611,464.20161870503597,476.61798561151073,477.0751798561151,431.02517985611513,466.9710431654676,326,0,0.002508402697886355,4.0,-0.6583308190503573,-0.9908728351897408
91,Jaguaretama,295,54,0.18305084745762712,173,0.5864406779661017,60,0.2033898305084746,440.06779661016947,467.32,490.81932203389835,481.404406779661,439.9959322033898,463.92149152542373,150,0,0.0013308971148857458,4.15,-0.7770318030424147,-0.6129955012274678
92,Jaguaribara,111,2,0.018018018018018018,39,0.35135135135135137,6,0.05405405405405406,457.1171171171171,445.88828828828827,456.618018018018,475.5765765765766,423.1126126126126,451.6625225225225,111,0,0.0005007782364485349,4.0,-1.254200861032711,-0.9908728351897408
93,Jaguaribe,1094,304,0.27787934186471663,687,0.6279707495429616,319,0.2915904936014625,555.2285191956124,486.60749542961605,505.59305301645344,502.5676416819013,452.85776965265086,500.5708957952468,360,5,0.004935598114186461,4.8,0.6495124444549337,1.0244729459423767
94,Jaguaruana,1198,270,0.22537562604340566,689,0.5751252086811353,296,0.24707846410684475,526.6944908180301,478.44315525876465,495.2893989983305,500.0433222036728,454.35183639398997,490.9644407345576,367,11,0.005404795741129232,4.466666666666666,0.27559004438602486,0.184745537137326
95,Jardim,1032,275,0.26647286821705424,665,0.6443798449612403,298,0.28875968992248063,537.5,477.24379844961237,495.32005813953486,492.28052325581393,447.99922480620154,490.06872093023253,313,0,0.004655884144278271,4.55,0.24072497741735008,0.39467738933858976
96,Jati,76,21,0.27631578947368424,47,0.618421052631579,22,0.2894736842105263,400.0,454.4789473684211,465.1578947368421,466.2723684210526,427.9578947368421,442.7734210526316,76,0,0.00034287518891971757,3.8,-1.600200934429111,-1.4947092804727709
97,Jijoca de Jericoacoara,486,139,0.28600823045267487,382,0.7860082304526749,141,0.29012345679012347,533.9506172839506,480.048353909465,516.9314814814815,502.9372427983539,448.25349794238684,496.42423868312756,190,0,0.0021925966028287203,4.6,0.48810764218074204,0.5206365006593467
98,Juazeiro do Norte,8362,4017,0.48038746711313085,6681,0.798971537909591,4239,0.5069361396795025,616.1468548194212,506.34056445826354,531.8130710356374,521.3343338914135,478.668619947381,530.8606888304233,2369,386,0.0377252938124563,4.592307692307691,1.8285146921884645,0.5012581758407665
99,Jucás,655,157,0.23969465648854962,426,0.650381679389313,177,0.27022900763358776,498.8396946564886,470.37404580152673,492.24274809160306,488.5184732824427,447.6135877862596,479.5177099236641,313,0,0.002955042746610724,4.5,-0.16996339137271854,0.2687182780178329
100,Lavras da Mangabeira,721,200,0.27739251040221913,478,0.6629680998613038,215,0.29819694868238555,552.3994452149792,474.8047156726769,489.88002773925103,489.7635228848821,445.35409153952844,490.4403606102635,262,0,0.0032528027790936363,4.633333333333333,0.2551907090779998,0.6046092415398513
101,Limoeiro do Norte,1961,926,0.4722080571137175,1564,0.7975522692503825,976,0.49770525242223357,632.8097909229984,510.03401325854156,534.0147373788883,523.8510963793983,484.9779194288628,537.1375114737378,405,107,0.00884708217725745,5.1,2.0728342224176157,1.7802276138669204
102,Madalena,298,44,0.1476510067114094,88,0.2953020134228188,48,0.1610738255033557,549.5973154362416,479.0352348993289,482.51140939597315,495.1543624161074,442.59261744966443,489.77818791946305,162,0,0.0013444316618167875,4.1,0.2294162480265548,-0.738954612548227
